"","x"
"6001",21735.1408732438
"6002",34640.6219351496
"6003",2813.21116046358
"6004",23434.1065025712
"6005",17223.098938132
"6006",8371.3987494514
"6007",8563.22480089914
"6008",14050.6682790121
"6009",3151.5057852741
"6010",30624.1199288735
"6011",21862.103203795
"6012",7116.63190472739
"6013",11351.7211216918
"6014",16203.4662529889
"6015",9291.16781011871
"6016",9176.30803933621
"6017",10987.8596913073
"6018",23028.7216009476
"6019",10345.1564543653
"6020",7426.96023902644
"6021",15402.6196042669
"6022",7665.95958491484
"6023",3504.75847534016
"6024",6775.68325050125
"6025",2395.49947322209
"6026",2899.26699140588
"6027",10586.3277391725
"6028",3625.50207028976
"6029",12853.8273151526
"6030",2558.57740983664
"6031",32276.6878719348
"6032",13452.8743654384
"6033",10479.346706526
"6034",23890.2020612478
"6035",4443.50408707492
"6036",3028.23617695417
"6037",4396.69140175793
"6038",8192.08808148805
"6039",25095.4081916203
"6040",11399.6490489485
"6041",1821.4147858648
"6042",5417.17248165633
"6043",7036.22083190046
"6044",8962.53715993801
"6045",6875.11524990649
"6046",9581.1362005234
"6047",12708.4479885625
"6048",2466.77729509094
"6049",5642.52795814167
"6050",6469.26020912899
"6051",1811.73526576999
"6052",12269.0697843765
"6053",2391.23936588864
"6054",19416.1929351055
"6055",6122.37044255615
"6056",-660.992263232493
"6057",1938.11527036239
"6058",8096.43685885763
"6059",22526.6843281043
"6060",2202.23256361587
"6061",-6.13556882652131
"6062",4454.25972687218
"6063",7611.82878596896
"6064",10753.4305329894
"6065",8956.14001131642
"6066",2982.71799902748
"6067",24330.8287422465
"6068",1535.60139899834
"6069",22504.0836896717
"6070",32786.8526785768
"6071",4436.4742279261
"6072",326.884824455836
"6073",26603.3303282425
"6074",24591.7232268593
"6075",24998.6762990291
"6076",7081.97410266168
"6077",5126.05650570714
"6078",33644.4758251156
"6079",12233.529218069
"6080",21397.4942017436
"6081",5577.79630030055
"6082",21375.0797186159
"6083",1955.5553992948
"6084",4883.61304094972
"6085",24802.87863441
"6086",9057.51814641872
"6087",7243.01190931979
"6088",5097.08870794296
"6089",3157.12723374579
"6090",6821.18850385834
"6091",26189.6898691049
"6092",9235.62451256492
"6093",14361.0301140611
"6094",11742.2881525808
"6095",21730.6035629625
"6096",8919.85129124005
"6097",10504.2741277629
"6098",25792.5907376692
"6099",23397.8977518626
"6100",9343.01582440871
"6101",29437.4860148983
"6102",15423.9116640622
"6103",1479.47425963389
"6104",15624.4661122789
"6105",5519.15731332555
"6106",18128.8195897652
"6107",1655.44604706203
"6108",11800.5792287604
