"","x"
"1",45419872.3178336
"2",46008482.1618147
"3",46584572.7016426
"4",47148410.2138298
"5",47700255.3113807
"6",48240363.0642502
"7",48768983.1172404
"8",49286359.8053896
"9",49792732.2669074
"10",50288334.5537069
"11",50773395.7395872
"12",51248140.0261138
"13",51712786.8462478
"14",52167550.9657702
"15",52612642.58255
"16",53048267.4236999
"17",53474626.8406664
"18",53891917.9022967
"19",54300333.4859268
"20",54700062.3665318
"21",55091289.3039799
"22",55474195.1284311
"23",55848956.8239192
"24",56215747.6101561
"25",56574737.022596
"26",56926090.9907971
"27",57269971.9151165
"28",57606538.7417732
"29",57935947.0363159
"30",58258349.0555268
"31",58573893.8177968
"32",58882727.1720039
"33",59184991.8649263
"34",59480827.6072218
"35",59770371.1380039
"36",60053756.2880445
"37",60331114.041632
"38",60602572.5971142
"39",60868257.4261529
"40",61128291.3317189
"41",61382794.5048529
"42",61631884.5802194
"43",61875676.6904788
"44",62114283.5195037
"45",62347815.3544622
"46",62576380.1367947
"47",62800083.5121052
"48",63019028.8789925
"49",63233317.4368424
"50",63443048.232603
"51",63648318.2065658
"52",63849222.2371728
"53",64045853.18487
"54",64238301.9350296
"55",64426657.4399576
"56",64611006.7600091
"57",64791435.1038287
"58",64968025.8677347
"59",65140860.6742667
"60",65310019.4099116
"61",65475580.2620293
"62",65637619.7549907
"63",65796212.7855493
"64",65951432.6574589
"65",66103351.1153556
"66",66252038.3779192
"67",66397563.1703291
"68",66539992.7560301
"69",66679392.9678224
"70",66815828.2382901
"71",66949361.6295833
"72",67080054.8625656
"73",67207968.345343
"74",67333161.2011846
"75",67455691.2958507
"76",67575615.2643387
"77",67692988.5370609
"78",67807865.365465
"79",67920298.8471094
"80",68030340.9502064
"81",68138042.5376419
"82",68243453.3904853
"83",68346622.2309987
"84",68447596.7451569
"85",68546423.604689
"86",68643148.4886498
"87",68737816.1045343
"88",68830470.2089411
"89",68921153.627798
"90",69009908.2761561
"91",69096775.1775641
"92",69181794.4830294
"93",69265005.4895766
"94",69346446.6584113
"95",69426155.632697
"96",69504169.2549545
"97",69580523.5840909
"98",69655253.9120665
"99",69728394.7802073
"100",69799979.9951703
"101",69870042.6445694
"102",69938615.1122691
"103",70005729.0933525
"104",70071415.6087713
"105",70135705.0196841
"106",70198627.0414897
"107",70260210.757562
"108",70320484.6326925
"109",70379476.5262473
"110",70437213.705044
"111",70493722.8559549
"112",70549030.0982417
"113",70603160.9956285
"114",70656140.5681174
"115",70707993.3035535
"116",70758743.168943
"117",70808413.6215311
"118",70857027.6196449
"119",70904607.633304
"120",70951175.6546074
