"","x"
"1",45609611.8473601
"2",46381554.7469202
"3",47129078.7111445
"4",47852394.6013806
"5",48551769.1117539
"6",49227518.5754405
"7",49880003.1122572
"8",50509621.1249707
"9",51116804.1469108
"10",51702012.0393964
"11",52265728.5340663
"12",52808457.1123975
"13",53330717.212423
"14",53833040.750874
"15",54315968.947598
"16",54780049.4381111
"17",55225833.6594581
"18",55653874.4941497
"19",56064724.1567722
"20",56458932.307883
"21",56837044.3799889
"22",57199600.1007173
"23",57547132.1987073
"24",57880165.2782511
"25",58199214.849279
"26",58504786.4998892
"27",58797375.1992658
"28",59077464.7194852
"29",59345527.1653773
"30",59602022.6022734
"31",59847398.7721293
"32",60082090.8891572
"33",60306521.5067221
"34",60521100.4478657
"35",60726224.792396
"36",60922278.9140373
"37",61109634.5616553
"38",61288650.9790742
"39",61459675.0584666
"40",61623041.5227396
"41",61779073.1327496
"42",61928080.9155643
"43",62070364.4103486
"44",62206211.9287803
"45",62335900.8272117
"46",62459697.7880765
"47",62577859.1083021
"48",62690630.9927291
"49",62798249.8507617
"50",62900942.5946724
"51",62998926.9381725
"52",63092411.6940258
"53",63181597.0696393
"54",63266674.9597009
"55",63347829.2350645
"56",63425236.0271935
"57",63499064.0075802
"58",63569474.6616492
"59",63636622.5567392
"60",63700655.6038295
"61",63761715.3127478
"62",63819937.0406534
"63",63875450.2336444
"64",63928378.661384
"65",63978840.6446844
"66",64026949.2760202
"67",64072812.6329798
"68",64116533.9846879
"69",64158211.9912574
"70",64197940.8963531
"71",64235810.7129619
"72",64271907.4024855
"73",64306313.047281
"74",64339106.0167862
"75",64370361.1273757
"76",64400149.7961015
"77",64428540.188475
"78",64455597.3604553
"79",64481383.3948071
"80",64505957.5319974
"81",64529376.2957984
"82",64551693.6137662
"83",64572960.9327616
"84",64593227.3296816
"85",64612539.617565
"86",64630942.4472357
"87",64648478.404643
"88",64665188.1040577
"89",64681110.277275
"90",64696281.8589781
"91",64710738.0684061
"92",64724512.4874723
"93",64737637.1354695
"94",64750142.5404988
"95",64762057.8077534
"96",64773410.6847839
"97",64784227.6238684
"98",64794533.8416063
"99",64804353.3758527
"100",64813709.140101
"101",64822622.975425
"102",64831115.7000808
"103",64839207.1568702
"104",64846916.2583596
"105",64854261.0300495
"106",64861258.65158
"107",64867925.4960603
"108",64874277.1676034
"109",64880328.537144
"110",64886093.7766163
"111",64891586.3915642
"112",64896819.2522518
"113",64901804.6233434
"114",64906554.1922154
"115",64911079.0959614
"116",64915389.94715
"117",64919496.8583903
"118",64923409.4657608
"119",64927136.9511504
"120",64930688.0635644
