"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"Mar 2013",45797098.6486486,42464236.8878961,49129960.4094012,40699926.4457105,50894270.8515868
"Apr 2013",46775945.2972973,42062566.9937264,51489323.6008682,39567455.2381511,53984435.3564435
"May 2013",47754791.9459459,41982106.0417191,53527477.8501728,38926230.7155294,56583353.1763625
"Jun 2013",48733638.5945946,42067915.0730895,55399362.1160997,38539294.1887184,58927983.0004708
"Jul 2013",49712485.2432432,42259979.7865909,57164990.6998956,38314861.7044513,61110108.7820352
"Aug 2013",50691331.8918919,42527521.1948142,58855142.5889696,38205860.8635955,63176802.9201883
"Sep 2013",51670178.5405405,42852255.1674324,60488101.9136487,38184328.501895,65156028.579186
"Oct 2013",52649025.1891892,43222268.5820473,62075781.7963311,38232045.0708967,67066005.3074816
"Nov 2013",53627871.8378378,43629286.5555802,63626457.1200955,38336355.2290235,68919388.4466522
"Dec 2013",54606718.4864865,44067284.1960292,65146152.7769437,38488044.6991041,70725392.2738689
"Jan 2014",55585565.1351351,44531713.1965957,66639417.0736746,38680157.4461602,72490972.8241101
"Feb 2014",56564411.7837838,45019039.97533,68109783.5922376,38907289.3229506,74221534.244617
"Mar 2014",57543258.4324324,45526454.4600059,69560062.404859,39165142.6948693,75921374.1699955
"Apr 2014",58522105.0810811,46051678.2548649,70992531.9072973,39450233.0562989,77593977.1058633
"May 2014",59500951.7297297,46592833.6351236,72409069.8243359,39759688.6749991,79242214.7844604
"Jun 2014",60479798.3783784,47148351.3353682,73811245.4213886,40091109.5666259,80868487.1901308
"Jul 2014",61458645.027027,47716903.9518622,75200386.1021919,40442465.6423509,82474824.4117031
"Aug 2014",62437491.6756757,48297356.7649629,76577626.5863885,40812021.498237,84062961.8531143
"Sep 2014",63416338.3243243,48888730.7164129,77943945.9322357,41198279.7938925,85634396.8547561
"Oct 2014",64395184.972973,49490174.0596683,79300195.8862777,41599937.895389,87190432.0505569
"Nov 2014",65374031.6216216,50100940.3221492,80647122.921094,42015854.1714329,88732209.0718103
"Dec 2014",66352878.2702703,50720370.9423236,81985385.5982169,42445021.4390754,90260735.1014651
"Jan 2015",67331724.9189189,51347881.4238583,83315568.4139795,42886545.788315,91776904.0495228
"Feb 2015",68310571.5675676,51982950.1734122,84638192.9617229,43339629.5109747,93281513.6241604
"Mar 2015",69289418.2162162,52625109.4124534,85953727.019979,43803557.2015257,94775279.2309068
"Apr 2015",70268264.8648649,53273937.7106804,87262592.0190493,44277684.3379407,96258845.391789
"May 2015",71247111.5135135,53929053.8008328,88565169.2261942,44761427.8222637,97732795.2047633
"Jun 2015",72225958.1621622,54590111.4159459,89861804.9083784,45254258.0848712,99197658.2394531
"Jul 2015",73204804.8108108,55256794.9497618,91152814.6718598,45755692.4476442,100653917.173977
"Aug 2015",74183651.4594595,55928815.7853539,92438487.1335651,46265289.5090844,102102013.409834
"Sep 2015",75162498.1081081,56605909.1703511,93719087.0458651,46782644.3653815,103542351.850835
"Oct 2015",76141344.7567568,57287831.542473,94994857.9710405,47307384.5201719,104975304.993342
"Nov 2015",77120191.4054054,57974358.2285113,96266024.5822995,47839166.3654352,106401216.445376
"Dec 2015",78099038.0540541,58665281.4549365,97532794.6531716,48377672.1389793,107820403.969129
"Jan 2016",79077884.7027027,59360408.6200487,98795360.7853567,48922607.2819232,109233162.123482
"Feb 2016",80056731.3513514,60059560.786836,100053901.915867,49473698.1337227,110639764.56898
"Mar 2016",81035578,60762571.3630306,101308584.636969,50030689.9134904,112040466.08651
"Apr 2016",82014424.6486486,61469284.9407057,102559564.356592,50593344.9453127,113435504.351985
"May 2016",82993271.2972973,62179556.272459,103806986.322136,51161441.0924568,114825101.502138
"Jun 2016",83972117.9459459,62893249.3650314,105050986.52686,51734770.3711811,116209465.520711
"Jul 2016",84950964.5945946,63610236.6743068,106291692.514882,52313137.7195926,117588791.469597
"Aug 2016",85929811.2432432,64330398.3881669,107529224.09832,52896359.900869,118963262.585617
