"","x"
"1",45379074.8539701
"2",45951037.3109161
"3",46492524.7328009
"4",47004823.3642192
"5",47489208.6493904
"6",47946938.5121103
"7",48379247.7678907
"8",48787343.542422
"9",49172401.5799288
"10",49535563.3344445
"11",49877933.7463166
"12",50200579.6152306
"13",50504528.4895958
"14",50790768.0002084
"15",51060245.5736586
"16",51313868.4679509
"17",51552504.0792564
"18",51776980.4746328
"19",51988087.1109291
"20",52186575.7049806
"21",52373161.2246062
"22",52548522.9738878
"23",52713305.7497624
"24",52868121.0501282
"25",53013548.3164876
"26",53150136.1966471
"27",53278403.815211
"28",53398842.0415424
"29",53511914.7465858
"30",53618060.0414321
"31",53717691.4918209
"32",53811199.3039028
"33",53898951.4775734
"34",53981294.9245358
"35",54058556.5489808
"36",54131044.2893945
"37",54199048.1205379
"38",54262841.0150901
"39",54322679.8648271
"40",54378806.3615232
"41",54431447.8380222
"42",54480818.0701433
"43",54527118.0402555
"44",54570536.6634961
"45",54611251.4777128
"46",54649429.2982928
"47",54685226.8390986
"48",54718791.3007739
"49",54750260.9277001
"50",54779765.5349033
"51",54807427.0062007
"52",54833359.7648739
"53",54857671.218131
"54",54880462.1766007
"55",54901827.2500689
"56",54921855.2206358
"57",54940629.3944365
"58",54958227.9330269
"59",54974724.1655012
"60",54990186.8823589
"61",55004680.6121079
"62",55018265.8815375
"63",55030999.4605632
"64",55042934.5924979
"65",55054121.210567
"66",55064606.1414451
"67",55074433.2965531
"68",55083643.8518167
"69",55092276.4165542
"70",55100367.1921229
"71",55107950.1209237
"72",55115057.0263284
"73",55121717.7440656
"74",55127960.2455718
"75",55133810.7537836
"76",55139293.8518238
"77",55144432.5850071
"78",55149248.5565649
"79",55153762.0174704
"80",55157991.9507193
"81",55161956.1504012
"82",55165671.2958799
"83",55169153.0213797
"84",55172415.981258
"85",55175473.9112267
"86",55178339.6857735
"87",55181025.3720133
"88",55183542.2801903
"89",55185901.0110372
"90",55188111.5001849
"91",55190183.0598041
"92",55192124.4176507
"93",55193943.7536756
"94",55195648.7343489
"95",55197246.5448405
"96",55198743.9191908
"97",55200147.1685953
"98",55201462.2079204
"99",55202694.5805619
"100",55203849.4817464
"101",55204931.7803759
"102",55205946.0395039
"103",55206896.5355296
"104",55207787.276189
"105",55208622.0174202
"106",55209404.2791707
"107",55210137.3602135
"108",55210824.3520357
"109",55211468.1518548
"110",55212071.4748197
"111",55212636.8654453
"112",55213166.708331
"113",55213663.2382051
"114",55214128.5493407
"115",55214564.6043788
"116",55214973.2425988
"117",55215356.187669
"118",55215715.054912
"119",55216051.3581111
"120",55216366.5158927
