"","Yahoo_US_AAZ_pred$mean","Yahoo_US_MMZ_pred$mean","Yahoo_US_tbats_pred$mean","Yahoo_US_arima_pred$mean","Yahoo_W_AAZ_pred$mean","Yahoo_W_MMZ_pred$mean","Yahoo_W_tbats_pred$mean","Yahoo_W_arima_pred$mean"
"1",45419872.3178336,45609611.8473601,45379074.8539701,45797098.6486486,138173166.654768,139467469.040288,138149861.840272,139652438.756757
"2",46008482.1618147,46381554.7469202,45951037.3109161,46775945.2972973,139834118.955887,142521942.777899,140356173.327014,142826973.513514
"3",46584572.7016426,47129078.7111445,46492524.7328009,47754791.9459459,141461851.948958,145507768.044788,142488638.935413,146001508.27027
"4",47148410.2138298,47852394.6013806,47004823.3642192,48733638.5945946,143057030.025383,148423830.108386,144548694.636172,149176043.027027
"5",47700255.3113807,48551769.1117539,47489208.6493904,49712485.2432432,144620304.28863,151269277.222674,146537851.779347,152350577.783784
"6",48240363.0642502,49227518.5754405,47946938.5121103,50691331.8918919,146152312.819995,154043503.776544,148457683.743996,155525112.540541
"7",48768983.1172404,49880003.1122572,48379247.7678907,51670178.5405405,147653680.93905,156746133.521269,150309813.819259,158699647.297297
"8",49286359.8053896,50509621.1249707,48787343.542422,52649025.1891892,149125021.458874,159377003.006668,152095904.233561,161874182.054054
"9",49792732.2669074,51116804.1469108,49172401.5799288,53627871.8378378,150566934.936188,161936145.336447,153817646.251602,165048716.810811
"10",50288334.5537069,51702012.0393964,49535563.3344445,54606718.4864865,151980009.916485,164423774.335489,155476751.262094,168223251.567568
"11",50773395.7395872,52265728.5340663,49877933.7463166,55585565.1351351,153364823.174255,166840269.205688,157074942.782729,171397786.324324
"12",51248140.0261138,52808457.1123975,50200579.6152306,56564411.7837838,154721939.948407,169186159.732057,158613949.312507,174572321.081081
"13",51712786.8462478,53330717.212423,50504528.4895958,57543258.4324324,156051914.172982,171462112.087531,160095497.965261,177746855.837838
"14",52167550.9657702,53833040.750874,50790768.0002084,58522105.0810811,157355288.703254,173668915.272873,161521308.821965,180921390.594595
"15",52612642.58255,54315968.947598,51060245.5736586,59500951.7297297,158632595.537305,175807468.217462,162893089.943101,184095925.351351
"16",53048267.4236999,54780049.4381111,51313868.4679509,60479798.3783784,159884356.033172,177878767.557326,164212532.985971,187270460.108108
"17",53474626.8406664,55225833.6594581,51552504.0792564,61458645.027027,161111081.121649,179883896.098617,165481309.375423,190444994.864865
"18",53891917.9022967,55653874.4941497,51776980.4746328,62437491.6756757,162313271.514833,181824011.967595,166701066.979841,193619529.621622
